player,total_runs,total_matches,total_balls_faced,total_fours,total_sixes,total_dismissed,avg_runs,highest_score,lowest_score,not_out_rate,duck_count,duck_rate,consistency_score,innings_above_30,innings_above_50,innings_above_30_pct,innings_above_50_pct,strike_rate,boundary_rate,six_rate,four_rate,boundary_runs_pct,dot_ball_rate,pp_runs,mid_runs,death_runs,pp_balls_faced,mid_balls_faced,death_balls_faced,pp_runs_pct,mid_runs_pct,death_runs_pct,pp_strike_rate,mid_strike_rate,death_strike_rate,dominant_phase,avg_runs_in_wins,avg_runs_in_losses,balls_faced_per_match,sample_reliability_score,team,season_start_year,avg_position,median_position,highest_position,lowest_position,typical_position,position_role,batting_role,eligible_for_model
Anirudh Singh,63,4,66,6,1,4,15.75,40,0,0.0,1,0.25,17.17,1,0,0.25,0.0,95.45,0.106,0.015,0.091,0.476,0.47,18,32,13,20,32,14,0.286,0.508,0.206,90.0,100.0,92.86,middle,0.0,21.0,16.5,0.525,Sunrisers Hyderabad,2010,5.0,5.5,3,6,6,middle_order,middle_order,False
Ankit Sharma,87,10,67,7,4,7,8.7,30,0,0.3,1,0.1,10.9,1,0,0.1,0.0,129.85,0.164,0.06,0.104,0.598,0.403,27,12,48,23,10,34,0.31,0.138,0.552,117.39,120.0,141.18,death,,8.7,6.7,0.779,Sunrisers Hyderabad,2017,7.9,9.0,1,10,10,tailender,tailender,True
Ankit Soni,7,3,9,0,1,2,2.33,7,0,0.333,2,0.667,4.04,0,0,0.0,0.0,77.78,0.111,0.111,0.0,0.857,0.778,0,0,7,0,0,9,0.0,0.0,1.0,,,77.78,death,,2.33,3.0,0.225,Gujarat Lions,2017,10.333333333333334,11.0,9,11,11,tailender,tailender,False
Anmolpreet Singh,139,9,115,19,3,9,15.44,36,0,0.0,1,0.111,14.12,3,0,0.333,0.0,120.87,0.191,0.026,0.165,0.676,0.461,116,23,0,91,24,0,0.835,0.165,0.0,127.47,95.83,,powerplay,19.0,14.43,12.78,0.979,Sunrisers Hyderabad,2024,2.2222222222222223,2.0,1,3,3,top_order,middle_order,True
Anuj Rawat,318,21,267,26,14,14,15.14,66,0,0.333,4,0.19,16.99,2,1,0.095,0.048,119.1,0.15,0.052,0.097,0.591,0.427,83,93,142,88,98,81,0.261,0.292,0.447,94.32,94.9,175.31,death,17.78,13.17,12.71,1.0,Royal Challengers Bengaluru,2024,4.142857142857143,5.0,1,8,1,opener,anchor_opener,True
Anureet Singh,36,8,47,2,1,4,4.5,15,0,0.5,2,0.25,5.81,0,0,0.0,0.0,76.6,0.064,0.021,0.043,0.389,0.468,0,4,32,0,9,38,0.0,0.111,0.889,,44.44,84.21,death,,4.5,5.88,0.696,Punjab Kings,2018,9.5,9.5,8,11,9,tailender,tailender,True
Arjun Tendulkar,13,1,9,0,1,1,13.0,13,13,0.0,0,0.0,0.0,0,0,0.0,0.0,144.44,0.111,0.111,0.0,0.462,0.222,0,0,13,0,0,9,0.0,0.0,1.0,,,144.44,death,,13.0,9.0,0.1,Mumbai Indians,2023,9.0,9.0,9,9,9,tailender,tailender,False
Arshad Khan,119,10,84,5,9,5,11.9,58,0,0.5,1,0.1,18.2,1,1,0.1,0.1,141.67,0.167,0.107,0.06,0.622,0.393,0,39,80,0,30,54,0.0,0.328,0.672,,130.0,148.15,death,0.5,14.75,8.4,0.85,Gujarat Titans,2025,7.818181818181818,8.0,6,9,9,tailender,tailender,True
Arshad Khan (2),5,1,4,1,0,1,5.0,5,5,0.0,0,0.0,0.0,0,0,0.0,0.0,125.0,0.25,0.0,0.25,0.8,0.5,0,0,5,0,0,4,0.0,0.0,1.0,,,125.0,death,,5.0,4.0,0.079,Lucknow Super Giants,2024,8.0,8.0,8,8,8,lower_order,tailender,False
Arshdeep Singh,31,13,46,4,0,6,2.38,10,0,0.538,3,0.231,3.36,0,0,0.0,0.0,67.39,0.087,0.0,0.087,0.516,0.674,0,4,27,0,3,43,0.0,0.129,0.871,,133.33,62.79,middle,1.0,2.5,3.54,0.692,Punjab Kings,2025,10.785714285714286,11.0,10,11,11,tailender,tailender,True
Ashok Sharma,1,2,4,0,0,0,0.5,1,0,1.0,0,0.0,0.71,0,0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.75,0,1,0,0,3,1,0.0,1.0,0.0,,33.33,0.0,middle,,0.5,2.0,0.142,Gujarat Titans,2026,10.0,10.0,10,10,10,tailender,tailender,False
Ashutosh Sharma,451,21,275,31,30,16,21.48,66,1,0.238,0,0.0,18.58,7,2,0.333,0.095,164.0,0.222,0.109,0.113,0.674,0.316,0,140,311,0,104,171,0.0,0.31,0.69,,134.62,181.87,death,28.0,19.44,13.1,1.0,Delhi Capitals,2026,7.142857142857143,7.0,5,8,7,lower_order,lower_order_hitter,True
Ashwani Kumar,1,1,6,0,0,0,1.0,1,1,1.0,0,0.0,0.0,0,0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.833,0,0,1,0,0,6,0.0,0.0,1.0,,,16.67,death,,1.0,6.0,0.088,Mumbai Indians,2026,10.0,10.0,10,10,10,tailender,tailender,False
Atharva Taide,260,10,177,30,8,9,26.0,66,0,0.1,1,0.1,22.41,3,2,0.3,0.2,146.89,0.215,0.045,0.169,0.646,0.356,157,103,0,103,74,0,0.604,0.396,0.0,152.43,139.19,,powerplay,13.75,34.17,17.7,1.0,Punjab Kings,2025,2.1,2.5,1,3,3,top_order,top_order_anchor,True
Auqib Nabi,4,1,2,1,0,1,4.0,4,4,0.0,0,0.0,0.0,0,0,0.0,0.0,200.0,0.5,0.0,0.5,1.0,0.5,0,4,0,0,1,1,0.0,1.0,0.0,,400.0,0.0,middle,,4.0,2.0,0.071,Delhi Capitals,2026,8.0,8.0,8,8,8,lower_order,tailender,False
Avesh Khan,68,16,43,7,4,3,4.25,19,0,0.812,1,0.062,5.11,0,0,0.0,0.0,158.14,0.256,0.093,0.163,0.765,0.442,0,12,56,0,4,39,0.0,0.176,0.824,,300.0,143.59,middle,1.25,5.25,2.69,0.679,Lucknow Super Giants,2026,9.823529411764707,10.0,8,11,10,tailender,lower_order_hitter,True
Azhar Mahmood,388,21,303,39,13,19,18.48,80,0,0.095,2,0.095,20.58,5,2,0.238,0.095,128.05,0.172,0.043,0.129,0.603,0.383,22,243,123,24,188,91,0.057,0.626,0.317,91.67,129.26,135.16,death,21.27,15.4,14.43,1.0,Punjab Kings,2015,5.333333333333333,6.0,3,8,3,top_order,middle_order,True
Azmatullah Omarzai,99,9,74,8,5,8,11.0,21,1,0.111,0,0.0,8.02,0,0,0.0,0.0,133.78,0.176,0.068,0.108,0.626,0.365,0,70,29,0,56,18,0.0,0.707,0.293,,125.0,161.11,death,16.75,6.4,8.22,0.808,Punjab Kings,2025,6.111111111111111,6.0,4,9,4,top_order,middle_order,True
B Akhil,76,11,55,5,5,5,6.91,27,0,0.545,2,0.182,7.75,0,0,0.0,0.0,138.18,0.182,0.091,0.091,0.658,0.436,0,27,49,0,21,34,0.0,0.355,0.645,,128.57,144.12,death,9.0,5.17,5.0,0.729,Royal Challengers Bengaluru,2011,7.363636363636363,7.0,7,10,7,lower_order,tailender,True
B Chipli,280,21,251,28,7,15,13.33,61,1,0.286,0,0.0,15.22,2,1,0.095,0.048,111.55,0.139,0.028,0.112,0.55,0.418,55,125,100,76,119,56,0.196,0.446,0.357,72.37,105.04,178.57,death,15.83,12.33,11.95,1.0,Sunrisers Hyderabad,2013,4.285714285714286,5.0,1,7,3,top_order,finisher,True
B Indrajith,21,3,30,2,0,3,7.0,15,0,0.0,1,0.333,7.55,0,0,0.0,0.0,70.0,0.067,0.0,0.067,0.381,0.567,19,2,0,27,3,0,0.905,0.095,0.0,70.37,66.67,,powerplay,15.0,3.0,10.0,0.312,Kolkata Knight Riders,2022,2.6666666666666665,2.0,2,4,2,opener,anchor_opener,False
B Kumar,347,74,375,34,3,35,4.69,27,0,0.527,6,0.081,5.47,0,0,0.0,0.0,92.53,0.099,0.008,0.091,0.444,0.461,0,38,309,0,51,324,0.0,0.11,0.89,,74.51,95.37,death,1.8,5.14,5.07,1.0,Sunrisers Hyderabad,2026,9.03896103896104,9.0,8,11,9,tailender,tailender,True
B Laughlin,5,4,13,0,0,2,1.25,4,0,0.5,2,0.5,1.89,0,0,0.0,0.0,38.46,0.0,0.0,0.0,0.0,0.615,0,3,2,0,7,6,0.0,0.6,0.4,,42.86,33.33,middle,,1.25,3.25,0.304,Chennai Super Kings,2018,10.5,11.0,9,11,11,tailender,tailender,False
B Lee,124,19,97,8,8,9,6.53,25,0,0.526,1,0.053,6.92,0,0,0.0,0.0,127.84,0.165,0.082,0.082,0.645,0.423,0,12,112,0,10,87,0.0,0.097,0.903,,120.0,128.74,death,6.67,6.46,5.11,0.904,Punjab Kings,2013,8.263157894736842,8.0,7,9,8,lower_order,tailender,True
B Sai Sudharsan,2121,49,1431,216,70,44,43.29,108,0,0.102,1,0.02,29.22,32,17,0.653,0.347,148.22,0.2,0.049,0.151,0.605,0.292,844,1031,246,615,696,120,0.398,0.486,0.116,137.24,148.13,205.0,death,42.19,44.52,29.2,1.0,Gujarat Titans,2026,1.9387755102040816,1.0,1,4,1,opener,aggressive_opener,True
B Stanlake,5,1,2,1,0,0,5.0,5,5,1.0,0,0.0,0.0,0,0,0.0,0.0,250.0,0.5,0.0,0.5,0.8,0.0,0,0,5,0,0,2,0.0,0.0,1.0,,,250.0,death,5.0,,2.0,0.071,Sunrisers Hyderabad,2018,11.0,11.0,11,11,11,tailender,tailender,False
B Sumanth,35,4,37,3,0,1,8.75,16,6,0.75,0,0.0,4.86,0,0,0.0,0.0,94.59,0.081,0.0,0.081,0.343,0.378,0,9,26,0,11,26,0.0,0.257,0.743,,81.82,100.0,death,6.33,16.0,9.25,0.404,Sunrisers Hyderabad,2010,7.25,7.0,7,8,7,lower_order,tailender,False
BA Bhatt,6,2,7,0,1,0,3.0,6,0,1.0,0,0.0,4.24,0,0,0.0,0.0,85.71,0.143,0.143,0.0,1.0,0.857,0,0,6,0,0,7,0.0,0.0,1.0,,,85.71,death,6.0,0.0,3.5,0.154,Punjab Kings,2012,11.0,11.0,11,11,11,tailender,tailender,False
BA Stokes,935,43,698,81,32,38,21.74,107,0,0.116,3,0.07,23.64,11,4,0.256,0.093,133.95,0.162,0.046,0.116,0.552,0.334,240,488,207,181,389,128,0.257,0.522,0.221,132.6,125.45,161.72,death,25.75,18.26,16.23,1.0,Rajasthan Royals,2023,3.75,4.0,1,6,5,middle_order,finisher,True
BAW Mendis,3,3,6,0,0,2,1.0,2,0,0.333,1,0.333,1.0,0,0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0,0,3,0,0,6,0.0,0.0,1.0,,,50.0,death,,1.0,2.0,0.212,Kolkata Knight Riders,2013,9.666666666666666,9.0,9,11,9,tailender,tailender,False
BB McCullum,2880,109,2186,293,130,102,26.42,158,0,0.064,6,0.055,26.8,44,15,0.404,0.138,131.75,0.194,0.059,0.134,0.678,0.432,1555,1144,181,1220,869,97,0.54,0.397,0.063,127.46,131.65,186.6,death,32.73,20.0,20.06,1.0,Kolkata Knight Riders,2018,1.2660550458715596,1.0,1,6,1,opener,aggressive_opener,True
BB Samantray,125,8,113,13,2,5,15.62,55,0,0.375,1,0.125,19.89,2,1,0.25,0.125,110.62,0.133,0.018,0.115,0.512,0.398,15,68,42,21,62,30,0.12,0.544,0.336,71.43,109.68,140.0,death,18.17,8.0,14.12,0.971,Sunrisers Hyderabad,2013,6.0,5.5,5,8,5,middle_order,middle_order,True
BB Sran,10,7,14,0,0,1,1.43,3,0,0.857,0,0.0,0.98,0,0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.357,0,0,10,0,0,14,0.0,0.0,1.0,,,71.43,death,0.5,1.8,2.0,0.496,Sunrisers Hyderabad,2019,9.11111111111111,9.0,8,10,9,tailender,tailender,True
BCJ Cutting,238,17,141,15,19,10,14.0,39,0,0.412,1,0.059,11.15,2,0,0.118,0.0,168.79,0.241,0.135,0.106,0.731,0.376,0,22,216,0,20,121,0.0,0.092,0.908,,110.0,178.51,death,13.22,14.88,8.29,1.0,Mumbai Indians,2019,6.294117647058823,6.0,3,8,6,middle_order,finisher,True
BE Hendricks,1,2,3,0,0,1,0.5,1,0,0.5,1,0.5,0.71,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,0,1,0,0,3,0.0,0.0,1.0,,,33.33,death,,0.5,1.5,0.138,Punjab Kings,2015,9.0,9.0,9,9,9,tailender,tailender,False
BJ Haddin,18,1,11,2,1,1,18.0,18,18,0.0,0,0.0,0.0,0,0,0.0,0.0,163.64,0.273,0.091,0.182,0.778,0.455,18,0,0,11,0,0,1.0,0.0,0.0,163.64,,,powerplay,,18.0,11.0,0.108,Kolkata Knight Riders,2011,1.0,1.0,1,1,1,opener,anchor_opener,False
BJ Hodge,1400,63,1118,122,43,41,22.22,73,0,0.349,3,0.048,19.18,21,6,0.333,0.095,125.22,0.148,0.038,0.109,0.533,0.361,148,646,606,162,583,373,0.106,0.461,0.433,91.36,110.81,162.47,death,23.41,21.33,17.75,1.0,Rajasthan Royals,2014,4.365079365079365,4.0,1,8,5,middle_order,finisher,True
BJ Rohrer,193,8,140,21,5,6,24.12,64,4,0.25,0,0.0,22.02,3,1,0.375,0.125,137.86,0.186,0.036,0.15,0.591,0.364,0,114,79,0,105,35,0.0,0.591,0.409,,108.57,225.71,death,12.33,31.2,17.5,1.0,Delhi Capitals,2013,5.25,5.0,5,6,5,middle_order,finisher,True
BKG Mendis,20,1,10,1,2,1,20.0,20,20,0.0,0,0.0,0.0,0,0,0.0,0.0,200.0,0.3,0.2,0.1,0.8,0.4,20,0,0,9,1,0,1.0,0.0,0.0,222.22,0.0,,powerplay,,20.0,10.0,0.104,Gujarat Titans,2025,3.0,3.0,3,3,3,top_order,top_order_aggressor,False
BMAJ Mendis,23,3,27,0,0,3,7.67,12,0,0.0,1,0.333,6.66,0,0,0.0,0.0,85.19,0.0,0.0,0.0,0.0,0.296,1,22,0,2,25,0,0.043,0.957,0.0,50.0,88.0,,middle,,7.67,9.0,0.3,Delhi Capitals,2013,5.0,5.0,5,5,5,middle_order,middle_order,False
BR Dunk,40,3,35,7,0,3,13.33,20,5,0.0,0,0.0,7.64,0,0,0.0,0.0,114.29,0.2,0.0,0.2,0.7,0.543,40,0,0,35,0,0,1.0,0.0,0.0,114.29,,,powerplay,10.0,20.0,11.67,0.333,Mumbai Indians,2014,1.0,1.0,1,1,1,opener,anchor_opener,False
BR Sharath,2,1,5,0,0,1,2.0,2,2,0.0,0,0.0,0.0,0,0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.6,0,2,0,0,5,0,0.0,1.0,0.0,,40.0,,middle,,2.0,5.0,0.083,Gujarat Titans,2024,4.0,4.0,4,4,4,top_order,middle_order,False
Basil Thampi,32,7,35,1,1,1,4.57,13,0,0.857,0,0.0,5.19,0,0,0.0,0.0,91.43,0.057,0.029,0.029,0.312,0.4,0,3,29,0,5,30,0.0,0.094,0.906,,60.0,96.67,death,3.0,4.83,5.0,0.583,Gujarat Lions,2019,9.375,9.0,9,10,9,tailender,tailender,True
Bipul Sharma,187,17,123,11,9,6,11.0,35,1,0.647,0,0.0,9.77,1,0,0.059,0.0,152.03,0.163,0.073,0.089,0.524,0.268,0,15,172,0,14,109,0.0,0.08,0.92,,107.14,157.8,death,11.83,10.55,7.24,1.0,Punjab Kings,2017,7.529411764705882,8.0,6,9,8,lower_order,lower_order_hitter,True
Brijesh Sharma,1,1,3,0,0,0,1.0,1,1,1.0,0,0.0,0.0,0,0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.667,0,0,1,0,0,3,0.0,0.0,1.0,,,33.33,death,,1.0,3.0,0.075,Rajasthan Royals,2026,10.0,10.0,10,10,10,tailender,tailender,False
C Bosch,58,3,36,5,3,2,19.33,27,11,0.333,0,0.0,8.02,0,0,0.0,0.0,161.11,0.222,0.083,0.139,0.655,0.333,0,2,56,0,5,31,0.0,0.034,0.966,,40.0,180.65,death,20.0,19.0,12.0,0.338,Mumbai Indians,2026,8.0,8.0,8,8,8,lower_order,tailender,False
C Connolly,270,7,160,24,18,6,38.57,87,11,0.143,0,0.0,29.53,4,2,0.571,0.286,168.75,0.262,0.112,0.15,0.756,0.35,69,178,23,58,91,11,0.256,0.659,0.085,118.97,195.6,209.09,death,40.0,30.0,22.86,0.938,Punjab Kings,2026,3.0,3.0,3,3,3,top_order,top_order_anchor,True
C Green,903,36,588,78,42,23,25.08,100,0,0.361,1,0.028,24.1,15,4,0.417,0.111,153.57,0.204,0.071,0.133,0.625,0.294,244,426,233,157,305,126,0.27,0.472,0.258,155.41,139.67,184.92,death,29.94,21.2,16.33,1.0,Mumbai Indians,2026,4.166666666666667,4.0,1,7,3,top_order,top_order_anchor,True
C Madan,15,1,19,3,0,1,15.0,15,15,0.0,0,0.0,0.0,0,0,0.0,0.0,78.95,0.158,0.0,0.158,0.8,0.684,15,0,0,19,0,0,1.0,0.0,0.0,78.95,,,powerplay,15.0,,19.0,0.142,Mumbai Indians,2010,1.0,1.0,1,1,1,opener,anchor_opener,False
C Munro,177,11,141,19,8,9,16.09,40,0,0.182,1,0.091,13.56,2,0,0.182,0.0,125.53,0.191,0.057,0.135,0.701,0.461,131,42,4,91,45,5,0.74,0.237,0.023,143.96,93.33,80.0,powerplay,19.4,13.33,12.82,1.0,Delhi Capitals,2019,2.5833333333333335,3.0,1,6,1,opener,aggressive_opener,True
C Nanda,0,1,1,0,0,1,0.0,0,0,0.0,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0,0,0,0,0,1,,,,,,0.0,unknown,,0.0,1.0,0.067,Mumbai Indians,2009,10.0,10.0,10,10,10,tailender,tailender,False
C Sakariya,20,7,31,3,0,5,2.86,7,0,0.286,1,0.143,2.85,0,0,0.0,0.0,64.52,0.097,0.0,0.097,0.6,0.677,0,1,19,0,4,27,0.0,0.05,0.95,,25.0,70.37,death,7.0,2.17,4.43,0.567,Rajasthan Royals,2023,9.75,10.0,9,11,10,tailender,tailender,True
C de Grandhomme,303,21,225,18,18,14,14.43,40,0,0.333,3,0.143,14.33,5,0,0.238,0.0,134.67,0.16,0.08,0.08,0.594,0.364,1,142,160,2,110,113,0.003,0.469,0.528,50.0,129.09,141.59,death,12.62,15.54,10.71,1.0,Royal Challengers Bengaluru,2019,5.9523809523809526,6.0,1,7,6,middle_order,middle_order,True
CA Ingram,205,15,180,22,5,12,13.67,47,1,0.2,0,0.0,13.4,2,0,0.133,0.0,113.89,0.15,0.028,0.122,0.576,0.417,14,128,63,18,120,42,0.068,0.624,0.307,77.78,106.67,150.0,death,17.25,9.57,12.0,1.0,Delhi Capitals,2019,4.666666666666667,5.0,3,6,5,middle_order,finisher,True
CA Lynn,1329,42,945,132,66,38,31.64,93,0,0.095,3,0.071,25.32,20,10,0.476,0.238,140.63,0.21,0.07,0.14,0.695,0.41,779,514,36,540,371,34,0.586,0.387,0.027,144.26,138.54,105.88,powerplay,32.38,30.9,22.5,1.0,Kolkata Knight Riders,2021,1.4047619047619047,1.0,1,6,1,opener,aggressive_opener,True
CA Pujara,390,22,391,50,4,18,17.73,51,0,0.182,1,0.045,14.23,4,1,0.182,0.045,99.74,0.138,0.01,0.128,0.574,0.481,215,128,47,229,121,41,0.551,0.328,0.121,93.89,105.79,114.63,death,18.17,17.2,17.77,1.0,Royal Challengers Bengaluru,2014,2.9545454545454546,1.5,1,7,1,opener,anchor_opener,True
CH Gayle,4965,141,3333,405,357,124,35.21,175,0,0.121,8,0.057,33.19,61,37,0.433,0.262,148.96,0.229,0.107,0.122,0.758,0.44,2373,2011,581,1761,1288,284,0.478,0.405,0.117,134.75,156.13,204.58,death,46.19,24.99,23.64,1.0,Royal Challengers Bengaluru,2021,1.3687943262411348,1.0,1,4,1,opener,aggressive_opener,True
CH Morris,618,49,398,41,35,28,12.61,82,0,0.429,9,0.184,16.06,6,2,0.122,0.041,155.28,0.191,0.088,0.103,0.605,0.299,17,102,499,7,93,298,0.028,0.165,0.807,242.86,109.68,167.45,powerplay,10.36,13.51,8.12,1.0,Delhi Capitals,2021,7.196078431372549,7.0,4,9,8,lower_order,lower_order_hitter,True
CJ Anderson,538,29,423,40,31,22,18.55,95,0,0.241,2,0.069,21.7,7,3,0.241,0.103,127.19,0.168,0.073,0.095,0.643,0.442,52,311,175,61,257,105,0.097,0.578,0.325,85.25,121.01,166.67,death,26.0,14.63,14.59,1.0,Mumbai Indians,2018,4.862068965517241,5.0,3,6,5,middle_order,finisher,True
CJ Ferguson,98,8,117,9,0,6,12.25,23,3,0.25,0,0.0,6.14,0,0,0.0,0.0,83.76,0.077,0.0,0.077,0.367,0.479,17,58,23,24,70,23,0.173,0.592,0.235,70.83,82.86,100.0,death,9.0,15.5,14.62,0.988,Pune Warriors,2012,5.25,5.0,3,7,5,middle_order,middle_order,True
CJ Jordan,81,12,77,3,3,9,6.75,30,0,0.25,1,0.083,8.01,1,0,0.083,0.0,105.19,0.078,0.039,0.039,0.37,0.442,0,1,80,0,6,71,0.0,0.012,0.988,,16.67,112.68,death,7.25,6.5,6.42,0.821,Punjab Kings,2023,7.846153846153846,8.0,7,10,8,lower_order,tailender,True
CJ McKay,8,1,15,0,0,1,8.0,8,8,0.0,0,0.0,0.0,0,0,0.0,0.0,53.33,0.0,0.0,0.0,0.0,0.533,0,8,0,0,15,0,0.0,1.0,0.0,,53.33,,middle,,8.0,15.0,0.125,Mumbai Indians,2012,8.0,8.0,8,8,8,lower_order,tailender,False
CK Kapugedera,16,3,23,0,0,3,5.33,8,0,0.0,1,0.333,4.62,0,0,0.0,0.0,69.57,0.0,0.0,0.0,0.0,0.391,0,1,15,0,3,20,0.0,0.062,0.938,,33.33,75.0,death,8.0,4.0,7.67,0.283,Chennai Super Kings,2008,5.666666666666667,6.0,5,6,6,middle_order,middle_order,False
CK Langeveldt,8,2,9,0,1,2,4.0,8,0,0.0,1,0.5,5.66,0,0,0.0,0.0,88.89,0.111,0.111,0.0,0.75,0.667,0,1,7,0,4,5,0.0,0.125,0.875,,25.0,140.0,death,,4.0,4.5,0.162,Kolkata Knight Riders,2011,10.0,10.0,10,10,10,tailender,tailender,False
CL White,954,45,755,76,36,34,21.2,78,0,0.244,4,0.089,22.72,15,6,0.333,0.133,126.36,0.148,0.048,0.101,0.545,0.344,90,501,363,111,451,193,0.094,0.525,0.381,81.08,111.09,188.08,death,19.38,22.21,16.78,1.0,Sunrisers Hyderabad,2013,4.222222222222222,4.0,1,7,4,top_order,finisher,True
CM Gautam,169,13,150,17,6,9,13.0,33,1,0.308,0,0.0,11.55,3,0,0.231,0.0,112.67,0.153,0.04,0.113,0.615,0.507,68,46,55,62,44,44,0.402,0.272,0.325,109.68,104.55,125.0,death,21.33,10.5,11.54,1.0,Mumbai Indians,2015,4.230769230769231,3.0,1,8,1,opener,anchor_opener,True
CR Brathwaite,181,14,111,10,16,13,12.93,43,1,0.071,0,0.0,12.54,2,0,0.143,0.0,163.06,0.234,0.144,0.09,0.751,0.396,0,24,157,0,32,79,0.0,0.133,0.867,,75.0,198.73,death,15.75,11.8,7.93,0.962,Delhi Capitals,2019,6.571428571428571,7.0,5,7,7,lower_order,lower_order_hitter,True
CR Woakes,78,12,77,7,2,5,6.5,18,0,0.583,0,0.0,5.89,0,0,0.0,0.0,101.3,0.117,0.026,0.091,0.513,0.429,0,15,63,0,21,56,0.0,0.192,0.808,,71.43,112.5,death,5.75,6.88,6.42,0.821,Kolkata Knight Riders,2021,7.666666666666667,8.0,7,8,8,lower_order,tailender,True
CRD Fernando,4,2,3,0,0,0,2.0,2,2,1.0,0,0.0,0.0,0,0,0.0,0.0,133.33,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,3,0.0,0.0,1.0,,,133.33,death,,2.0,1.5,0.138,Mumbai Indians,2010,10.0,10.0,9,11,9,tailender,tailender,False
CV Varun,26,12,48,2,0,3,2.17,10,0,0.75,1,0.083,3.1,0,0,0.0,0.0,54.17,0.042,0.0,0.042,0.308,0.604,0,0,26,0,3,45,0.0,0.0,1.0,,0.0,57.78,death,1.0,2.4,4.0,0.7,Kolkata Knight Riders,2026,10.642857142857142,11.0,10,11,11,tailender,tailender,True
D Brevis,519,20,350,35,37,20,25.95,57,0,0.0,3,0.15,19.83,10,2,0.5,0.1,148.29,0.206,0.106,0.1,0.697,0.391,85,369,65,74,248,28,0.164,0.711,0.125,114.86,148.79,232.14,death,41.6,20.73,17.5,1.0,Mumbai Indians,2026,4.1,4.0,1,6,3,top_order,top_order_anchor,True
D Ferreira,238,10,143,21,16,8,23.8,69,1,0.2,0,0.0,24.94,4,2,0.4,0.2,166.43,0.259,0.112,0.147,0.756,0.385,14,103,121,11,68,64,0.059,0.433,0.508,127.27,151.47,189.06,death,24.33,23.57,14.3,1.0,Rajasthan Royals,2026,6.5,6.5,5,8,6,middle_order,finisher,True
D Kalyankrishna,3,1,8,0,0,1,3.0,3,3,0.0,0,0.0,0.0,0,0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.625,0,0,3,0,0,8,0.0,0.0,1.0,,,37.5,death,,3.0,8.0,0.096,Sunrisers Hyderabad,2008,9.0,9.0,9,9,9,tailender,tailender,False
D Padikkal,2088,82,1580,219,74,77,25.46,101,0,0.061,6,0.073,21.6,31,15,0.378,0.183,132.15,0.185,0.047,0.139,0.632,0.385,964,986,138,734,749,97,0.462,0.472,0.066,131.34,131.64,142.27,death,28.4,21.51,19.27,1.0,Royal Challengers Bengaluru,2026,2.475609756097561,3.0,1,6,3,top_order,top_order_anchor,True
D Pretorius,44,5,28,3,3,4,8.8,22,0,0.2,1,0.2,9.09,0,0,0.0,0.0,157.14,0.214,0.107,0.107,0.682,0.357,0,0,44,0,0,28,0.0,0.0,1.0,,,157.14,death,22.0,5.5,5.6,0.429,Chennai Super Kings,2022,8.2,8.0,8,9,8,lower_order,tailender,True
D Salunkhe,33,3,24,5,0,1,11.0,26,1,0.667,0,0.0,13.23,0,0,0.0,0.0,137.5,0.208,0.0,0.208,0.606,0.333,0,8,25,0,7,17,0.0,0.242,0.758,,114.29,147.06,death,1.0,16.0,8.0,0.288,Rajasthan Royals,2008,8.0,8.0,8,8,8,lower_order,tailender,False
D Wiese,148,11,101,12,7,5,13.45,47,1,0.545,0,0.0,12.6,1,0,0.091,0.0,146.53,0.188,0.069,0.119,0.608,0.297,0,23,125,0,24,77,0.0,0.155,0.845,,95.83,162.34,death,10.5,14.11,9.18,0.921,Royal Challengers Bengaluru,2023,7.0,7.0,5,8,7,lower_order,tailender,True
D du Preez,10,1,13,0,0,1,10.0,10,10,0.0,0,0.0,0.0,0,0,0.0,0.0,76.92,0.0,0.0,0.0,0.0,0.385,0,3,7,0,4,9,0.0,0.3,0.7,,75.0,77.78,death,,10.0,13.0,0.117,Royal Challengers Bengaluru,2009,8.0,8.0,8,8,8,lower_order,tailender,False
DA Miller,3200,140,2304,232,144,86,22.86,101,0,0.386,4,0.029,19.94,40,14,0.286,0.1,138.89,0.163,0.062,0.101,0.56,0.313,102,1644,1454,117,1347,840,0.032,0.514,0.454,87.18,122.05,173.1,death,27.65,18.2,16.46,1.0,Punjab Kings,2026,4.929577464788732,5.0,3,8,5,middle_order,finisher,True
DA Payne,6,1,5,0,0,0,6.0,6,6,1.0,0,0.0,0.0,0,0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.2,0,0,6,0,0,5,0.0,0.0,1.0,,,120.0,death,,6.0,5.0,0.083,Sunrisers Hyderabad,2026,10.0,10.0,10,10,10,tailender,tailender,False
